ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,Canada - BC,Canada - BC White Wine,CANADA,47407,SOMMET BLANC,58976055043,4,1,12,28.99,1
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,486712,DEANSTON - VIRGIN OAK,5029704217458,0.7,1,46.3,43.99,NA
Wine,France Wine,France White Wine,FRANCE,514323,CHEVALIER MONTRACHET - DOM BOUCHARD PERE 2013,3337690165328,0.75,1,13.5,399.99,0
Wine,France Wine,France Champagne Wine,FRANCE,522201,TENDIL & LOMBARDI BRUT,3414330000178,1.5,1,12,119.99,1
Wine,Fortified Wine,Vermouth Wine,CANADA,532242,ODD SOCIETY - BITTERSWEET VERMOUTH,627843244639,0.375,1,18,19.09,10
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,540526,STEAMWORKS - MASH UP MIX PACK,185902000836,0.355,12,5.5,20.99,NA
Spirits,Vodka,Straight Vodka,UNITED STATES OF AMERICA,542928,FIFTH GENERATION - TITO'S HANDMADE,619947000051,0.375,1,40,16.49,NA
Wine,Italy Wine,Prosecco Wine,ITALY,550111,VALDO - VALDOBBIADENE PROSECCO SUPERIORE MARCA ORO EXTRA DRY,8002335104066,0.75,1,12,17.99,0
Wine,Other Style Wine,Rice Wine,CHINA,561530,SHAOXING NUERHONG BREWING - NUERHONG 5 YEAR OLD,6904508004222,0.5,1,14,19.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,563015,SHIRAZ - YALUMBA ORGANIC,9311789001692,0.75,1,13.5,16.49,0
Wine,Italy Wine,Italy Red Wine,ITALY,565903,TOSCANA - COLLAZZI 07/08,8007425010456,0.75,1,13,43.99,0
Beer,Import Beer,Europe Beer,CZECH REPUBLIC,591230,CZECHVAR,815833002400,0.5,1,5,2.29,NA
Wine,France Wine,France Red Wine,FRANCE,594952,CHATEAUNEUF DU PAPE - DIFFONTY CHATEAU SIXTINE 11/12,3760037132217,0.75,1,15.5,70.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,595082,SHIRAZ - GLAETZER BISHOP BAROSSA 10/13/14,9322246006143,0.75,1,15,43.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,608216,PETIT VERDOT - PIRRAMIMMA MCLAREN VALE 12/13,9315785008082,0.75,1,14,29.99,0
Wine,Sake,Japan Sake,JAPAN,622944,YOSHI NO GAWA - SPECIAL PREMIUM SAKE,4979656004372,0.3,1,15,16.99,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,639625,QUAILS GATE - OLD VINES FOCH 2013,778856111217,0.75,1,14.9,21.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,677658,MISSION HILL - RESERVE PINOT GRIS 14/15,776545991171,0.75,1,13.5,20.49,0
Beer,Import Beer,Europe Beer,NETHERLANDS,696609,HEINEKEN LAGER CAN,72890001375,0.71,1,5,4.49,NA
Wine,Italy Wine,Italy Red Wine,ITALY,69906,BRUNELLO DI MONTALCINO - SILVIO NARDI MANACHIARA 2010,8003165030754,0.75,1,14.5,115.99,0
Wine,Germany Wine,Germany White Wine,GERMANY,721860,RIESLING - TESCH KARTHAUSER TROCKEN 2009,4015276102217,0.75,1,12.5,34.99,1
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,744052,HEY Y'ALL - GEORGIA PEACH HARD ICED TEA CAN,626990183761,0.341,6,5,9.99,NA
Wine,France Wine,France Red Wine,FRANCE,747477,RICHEBOURG THIBAULT LIGER BELAIR GRAND CRU 2012,795898007612,0.75,1,13,630,0
Wine,France Wine,France White Wine,FRANCE,751271,CHASSAGNE MONTRACHET 1ER MORGEOT - DOM FONT GAGNARD 11,3322718041333,0.75,1,13,105.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,762336,PINOT NOIR - THE HILT THE VANGUARD STA RITA HILLS 2012,626990232360,0.75,1,14.5,81.99,0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,772756,CANNERY - NARAMATA NUT BROWN ALE CAN,626990064138,0.355,6,5.5,11.29,NA
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,785063,JOHNNIE WALKER RED,88076180055,3,1,40,106.99,NA
Wine,Canada - BC,Canada - BC Sparkling Wine,CANADA,785915,MEADOW VISTA - BLISS SPARKLING HONEY WINE,626990176183,0.5,1,12.5,12.99,1
Wine,Germany Wine,Germany White Wine,GERMANY,794586,RIESLING AUSLESE - DR LOOSEN URZIGER WURZGARTEN 2012,183103000143,0.75,1,7.5,64.99,9
Wine,France Wine,France Red Wine,FRANCE,822296,PAYS D'OC PINOT NOIR - HOB NOB,3351650012514,0.75,1,13,14.99,0
